全国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行为流出地，列为流入地,安徽省,北京市,福建省,甘肃省,广东省,广西壮族自治区,贵州省,海南省,河北省,河南省,黑龙江省,湖北省,湖南省,吉林省,江苏省,江西省,辽宁省,宁夏回族自治区,青海省,山东省,山西省,陕西省,上海市,四川省,天津市,西藏自治区,新疆维吾尔自治区,云南省,浙江省,重庆市
广东省,0.037058824,0.140905882,0.447411765,0.503747059,0.198547059,0.933558824,0.242147059,0.309505882,0.058423529,0.138364706,0.094229412,0.111658824,3.215558824,,,,,,,,,,,,,,,,,
广西壮族自治区,0.01524,0.040688235,0.106635294,0.166794118,0.080470588,0.179552941,0.0611,0.083147059,0.031329412,0.034558824,0.022341176,0.027464706,0.849322353,,,,,,,,,,,,,,,,,
贵州省,0.00971875,0.022,0.073635294,0.056723529,0.022488235,0.133582353,0.028147059,0.02259375,0.0118875,0.020846667,0.0157,0.010528571,0.427851709,,,,,,,,,,,,,,,,,
海南省,0.01456875,0.066170588,0.187205882,0.089141176,0.164476471,0.399023529,0.097629412,0.063976471,0.0343,0.040676471,0.024135294,0.042788235,1.224092279,,,,,,,,,,,,,,,,,
河北省,0.341235294,0.955282353,2.351647059,9.055776471,3.495635294,3.722723529,1.053447059,1.927258824,0.4078,6.083229412,5.676217647,0.699117647,35.76937059,,,,,,,,,,,,,,,,,
河南省,0.085670588,0.195535294,0.578947059,0.607923529,0.659164706,0.897347059,0.233664706,0.260282353,0.1184,0.287764706,0.131558824,0.095711765,4.151970588,,,,,,,,,,,,,,,,,
黑龙江省,0.022876471,0.071011765,0.221929412,1.167711765,0.170541176,0.492923529,15.22267059,1.402270588,0.037482353,0.144276471,0.194264706,4.786541176,23.9345,,,,,,,,,,,,,,,,,
湖北省,0.056047059,0.095047059,0.270523529,0.356588235,0.178611765,0.526829412,0.138352941,0.200147059,0.058523529,0.126,0.055952941,0.089388235,2.152011765,,,,,,,,,,,,,,,,,
湖南省,0.026241176,0.054847059,0.292447059,0.298152941,0.164547059,0.357323529,0.089505882,0.105841176,0.039311765,0.086070588,0.060529412,0.033394118,1.608211765,,,,,,,,,,,,,,,,,
吉林省,0.032870588,0.091623529,0.309358824,1.856929412,0.181005882,0.478494118,1.297988235,8.113188235,0.053152941,0.184164706,0.230829412,7.767352941,20.59695882,,,,,,,,,,,,,,,,,
